,Date,CumulativeSumAdmitted,SC1-6M-VS2 HSC 15.0%,S-SC1-6M-VS2 HSC 15.0%,E-SC1-6M-VS2 HSC 15.0%,IS-SC1-6M-VS2 HSC 15.0%,IA-SC1-6M-VS2 HSC 15.0%,R-SC1-6M-VS2 HSC 15.0%,V1-SC1-6M-VS2 HSC 15.0%,Ev1-SC1-6M-VS2 HSC 15.0%,ISv1-SC1-6M-VS2 HSC 15.0%,IAv1-SC1-6M-VS2 HSC 15.0%,V2-SC1-6M-VS2 HSC 15.0%,Ev2-SC1-6M-VS2 HSC 15.0%,ISv2-SC1-6M-VS2 HSC 15.0%,IAv2-SC1-6M-VS2 HSC 15.0%
0,2021-07-01,186623.0,188226.0,10007709.0,2419.0,2910.0,147.0,183057.0,405760.0,103.0,4.0,9.0,156182.0,24.0,20.0,4.0
1,2021-07-02,187109.0,188522.4033,9987127.7887,2661.183,2878.696,170.7731,183725.1057,407501.764,107.6651,20.9572,10.1547,174256.7967,24.6466,20.6734,4.356
2,2021-07-03,187827.0,188820.3241,9966540.8249,2865.579,2892.6314,192.7545,184381.0495,409243.0663,111.8442,36.1454,11.0933,192330.1915,25.7837,21.4328,4.6557
3,2021-07-04,188380.0,189123.4254,9945939.6952,3046.6182,2939.5123,212.7001,185028.9215,410983.6114,115.8916,49.7496,11.8776,210402.0958,27.4026,22.3075,4.9523
4,2021-07-05,189006.0,189434.3629,9925318.4457,3213.9032,3010.7746,230.7917,185672.2285,412723.184,120.0254,61.9813,12.5592,228472.4243,29.4934,23.3344,5.2801
5,2021-07-06,189402.0,189755.1079,9904672.7419,3373.8369,3100.4854,247.3769,186314.0537,414461.6218,124.3765,73.0564,13.1793,246541.0938,32.046,24.5516,5.6614
6,2021-07-07,189914.0,190087.1711,9883999.3053,3530.7121,3204.5584,262.8347,186957.1674,416198.797,129.021,83.1811,13.7691,264608.022,35.0512,25.9958,6.1102
7,2021-07-08,190381.0,190431.7559,9863295.5412,3687.4279,3320.1996,277.5151,187604.1031,417934.6037,134.0014,92.545,14.3513,282673.1265,38.5017,27.7004,6.6352
8,2021-07-09,190935.0,190789.8638,9842559.2916,3845.9647,3445.5189,291.7162,188257.2111,419668.95,139.34,101.3181,14.9424,300736.324,42.3924,29.6949,7.2417
9,2021-07-10,191453.0,191162.3661,9821788.6718,4007.6988,3579.2567,305.6806,188918.6976,421401.752,145.0478,109.6493,15.5539,318797.5289,46.7212,32.0049,7.9331
10,2021-07-11,192050.0,191550.0536,9800981.9615,4173.6091,3720.5936,319.6002,189590.6539,423132.9308,151.1294,117.6682,16.1936,336856.6531,51.4887,34.6529,8.7114
11,2021-07-12,192657.0,191953.6697,9780137.533,4344.4139,3869.0182,333.6249,190275.0777,424862.4094,157.587,125.486,16.8669,354913.6049,56.6984,37.6586,9.5782
12,2021-07-13,192966.0,192373.9337,9759253.8035,4520.6616,4024.2339,347.8704,190973.8911,426590.1111,164.4219,133.1978,17.5775,372968.2891,62.3568,41.0395,10.535
13,2021-07-14,193321.0,192811.5564,9738329.2033,4702.7894,4186.0958,362.4268,191688.954,428315.9587,171.6358,140.8848,18.3278,391020.606,68.473,44.8116,11.5831
14,2021-07-15,193784.0,193267.2506,9717362.1549,4891.1628,4354.5662,377.3642,192422.0764,430039.8733,179.2314,148.6162,19.1195,409070.4511,75.0587,48.99,12.7243
15,2021-07-16,194453.0,193741.739,9696351.0581,5086.1017,4529.6833,392.7387,193175.0276,431761.7742,187.213,156.4511,19.9539,427117.7151,82.1281,53.5893,13.9607
16,2021-07-17,195093.0,194235.7593,9675294.2806,5287.8972,4711.5404,408.5954,193949.5457,433481.578,195.5862,164.4403,20.8319,445162.2834,89.6977,58.6241,15.2947
17,2021-07-18,195700.0,194750.0679,9654190.1513,5496.8234,4900.2704,424.9723,194747.3447,435199.1986,204.3582,172.6276,21.7547,463204.0355,97.786,64.1095,16.7292
18,2021-07-19,196329.0,195285.4423,9633036.9554,5713.144,5096.0366,441.9018,195570.1214,436914.5469,213.5375,181.0515,22.7231,481242.8454,106.4136,70.0609,18.2674
19,2021-07-20,196745.0,195842.6838,9611832.9306,5937.1179,5299.0248,459.4129,196419.5619,438627.5308,223.1339,189.7456,23.738,499278.5805,115.6028,76.495,19.9129
20,2021-07-21,197288.0,196422.6188,9590576.265,6169.0028,5509.438,477.532,197297.3476,440338.0547,233.1586,198.7402,24.8006,517311.1019,125.3781,83.4292,21.67
21,2021-07-22,197856.0,197026.1001,9569265.0941,6409.0567,5727.4936,496.2839,198205.1598,442046.0195,243.6239,208.0627,25.9121,535340.2641,135.7653,90.8822,23.5431
22,2021-07-23,198529.0,197654.008,9547897.5,6657.54,5953.421,515.6924,199144.6854,443751.3226,254.5431,217.7383,27.0737,553365.9144,146.7921,98.874,25.5369
23,2021-07-24,199076.0,198307.2514,9526471.509,6914.7159,6187.4593,535.7807,200117.6208,445453.8575,265.9305,227.7904,28.2869,571387.8927,158.4877,107.4259,27.6568
24,2021-07-25,199593.0,198986.7689,9504985.0907,7180.8519,6429.8566,556.5717,201125.6767,447153.5141,277.8012,238.2415,29.5531,589406.0315,170.8831,116.5607,29.9082
25,2021-07-26,200313.0,199693.5291,9483436.1565,7456.2194,6680.8691,578.0883,202170.5818,448850.1779,290.1715,249.1128,30.8741,607420.1554,184.0108,126.3028,32.2972
26,2021-07-27,200837.0,200428.5323,9461822.5586,7741.0948,6940.7603,600.3535,203254.0865,450543.7308,303.0581,260.4253,32.2515,625430.0805,197.9047,136.6779,34.8299
