,Date,ActiveCases,AL4_Negros oriental_SC2 HSC 16.0%,S-AL4_Negros oriental_SC2 HSC 16.0%,E-AL4_Negros oriental_SC2 HSC 16.0%,IS-AL4_Negros oriental_SC2 HSC 16.0%,IA-AL4_Negros oriental_SC2 HSC 16.0%,R-AL4_Negros oriental_SC2 HSC 16.0%,V1-AL4_Negros oriental_SC2 HSC 16.0%,Ev1-AL4_Negros oriental_SC2 HSC 16.0%,ISv1-AL4_Negros oriental_SC2 HSC 16.0%,IAv1-AL4_Negros oriental_SC2 HSC 16.0%,V2-AL4_Negros oriental_SC2 HSC 16.0%,Ev2-AL4_Negros oriental_SC2 HSC 16.0%,ISv2-AL4_Negros oriental_SC2 HSC 16.0%,IAv2-AL4_Negros oriental_SC2 HSC 16.0%
0,2021-07-01,1023.0,1025.0,1316476.0,302.0,103.0,11.0,9498.0,54582.0,12.0,17.0,1.0,23841.0,3.0,4.0,1.0
1,2021-07-02,1149.0,952.8524,1315338.7821,268.3636,129.1205,15.3664,9598.4316,54573.9776,10.5626,15.5894,1.1011,24963.8303,2.6211,3.8013,0.8541
2,2021-07-03,1042.0,889.8974,1314198.105,243.978,146.9037,17.3604,9694.3815,54565.8323,9.4966,14.2966,1.1195,26086.5781,2.3444,3.5678,0.7354
3,2021-07-04,940.0,834.3134,1313055.3313,225.9387,158.5545,18.0428,9785.9627,54557.6117,8.6919,13.1237,1.0954,27209.2523,2.1431,3.3228,0.6408
4,2021-07-05,913.0,784.728,1311911.3956,212.2536,165.7401,18.0297,9873.3432,54549.3483,8.0717,12.0689,1.0519,28331.8598,1.9976,3.0819,0.5665
5,2021-07-06,816.0,740.1005,1310766.9353,201.5593,169.7031,17.6715,9956.7208,54541.0645,7.5825,11.1272,1.0016,29454.4054,1.8933,2.8548,0.5089
6,2021-07-07,672.0,699.6343,1309622.3826,192.9243,171.3589,17.162,10036.3061,54532.7754,7.187,10.2911,0.9513,30576.8929,1.8192,2.6468,0.4648
7,2021-07-08,707.0,662.7128,1308478.0276,185.7141,171.3761,16.6044,10112.312,54524.4912,6.8589,9.5518,0.9039,31699.3251,1.7675,2.4607,0.4314
8,2021-07-09,715.0,628.8518,1307334.0632,179.4969,170.2394,16.0501,10184.9473,54516.2186,6.5799,8.8996,0.8609,32821.7041,1.7321,2.297,0.4064
9,2021-07-10,664.0,597.6651,1306190.6153,173.9791,168.2983,15.5219,10254.4127,54507.9621,6.3372,8.3249,0.8222,33944.0315,1.7087,2.1551,0.3879
